URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dvmd.de/fhir/ValueSet/kdl,2026.1.0,active,"1.2.276.0.76.11.469",ValueSetKDLEbene3,Dokumenten(typ)klassen Klinische Dokumentenklassen-Liste 2026,"ValueSets sind Listen von Codes, die in einem bestimmten Kontext verwendet werden. Durch sog. &quot;Terminology-Binding&quot; können Attribute von FHIR-Ressourcen an ValueSets gebunden werden, um die Menge der zulässigen Werte für dieses Attribut einzuschränken. Dieses ValueSet enthält nur Codes der Ebene 3 (Dokumenten(typ)klassen) aus dem CodeSystem &quot;KDL&quot; und ist für Bindings an Attribute geeignet, an denen ausschließlich Dokumentenklassen erlaubt werden sollen. Beispiel: DocumentReference.type","ConceptMap/kdl-ihe-typecode,ConceptMap/kdl-ihe-classcode","Internal"
http://dvmd.de/fhir/ValueSet/kdl-all,2026.1.0,active,,ValueSetKDL,Klinische Dokumentenklassen-Liste 2026,"Dieses ValueSet enthält sämtliche Codes aus dem CodeSystem &quot;KDL&quot; (alle Hierarchieebenen). **Wichtig:** Dieses ValueSet sollte NICHT in Profilen verwendet werden! Zur Kodierung von Dokumententypen sollen ausschließlich Codes der Ebene 3 (Dokumenten(typ)klassen) verwendet werden. Verwenden Sie stattdessen das ValueSet &quot;ValueSetKDLEbene3&quot; für Bindings an Attribute wie DocumentReference.type.",,"Internal"
